Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1934,23.6,13.9,31.8,44.9,56.2,62.8,69.8,64.7,62.8,48,41.5,25,45.4
1935,18,23.4,33.6,43.4,53.5,63.2,70.8,69,59.3,49.8,43.1,24.4,46
1936,24.6,20,38.2,42.4,55.2,62.9,66.6,67.2,59.3,50.4,35.9,31,46.1
1937,31.6,30.4,31.3,43.3,56.2,63.8,70.7,72.5,61,49.2,40.5,27,48.1
1938,23.8,26.8,33.8,44.6,52.4,64.6,68.3,71.2,58.7,53.1,42,31,47.5
1939,23.6,24.8,29.1,40.4,53.3,61.2,67.9,69.7,60.1,49.8,37.1,28.9,45.5
1940,19,27.1,30.5,40.4,52.6,60.4,68.4,65.5,59.9,48,M,24.5,45.1
1941,17,24.3,27.3,46.5,55,63.9,68,64.2,58.8,48,39.9,29.4,45.2
1942,20.6,22.1,36,44.7,54.8,62.4,66.9,66.4,58.9,49.1,36.3,22.8,45.1
1943,17.7,22.9,29.6,38.4,52.9,64.7,68.5,65.4,57.3,49.1,37.4,21,43.7
1944,22.7,21.2,29.1,38.9,55.7,61.3,68.5,70.7,59.5,47.6,38.2,23.5,44.7
1945,16.1,21.9,38.6,47.1,49.5,60.9,67.1,66.4,60.5,45.9,37.8,22.1,44.5
1946,19.8,19.1,39.5,40.4,51.5,61.8,65.5,64.3,60.8,51,40.6,26.6,45.1
1947,21.5,24.6,32.5,41.3,51.4,60.2,70.6,68.7,59.5,55.3,36.2,22.8,45.4
1948,15.6,18.2,30.8,41.4,50,59.5,70.2,69.4,60.3,47.9,42.5,29.8,44.6
1949,26.6,26.3,33.2,45.6,53.8,64.7,70.8,69,57.2,51.6,36.3,30,47.1
1950,26.9,18.3,26.3,40.8,52.8,62.4,68,65.7,54.5,49.2,41.5,29.4,44.7
1951,25.4,27.4,33.2,45.6,53.9,59.9,68.7,66.4,59.2,48.9,35.7,25.4,45.8
1952,23.4,26,31.7,43.8,51.6,64.9,71.6,67.3,59.4,46.6,37.7,30.1,46.2
1953,28.5,27.6,34.4,44.1,53.8,62.5,67.7,65.6,58.9,49.9,41.2,33,47.3
1954,17.8,29.2,31.6,43,51.2,61.3,65.9,63.9,56.4,51.7,38.6,27.4,44.8
1955,22.3,26.7,30.4,43.7,56,62.6,71,68.5,57.1,48.5,36.1,18.1,45.1
1956,27.3,24.6,25.6,39.9,48.2,61.9,65.1,65.5,55,48,38,27.5,43.9
1957,13.9,26.8,33.6,44.6,54.5,64.1,67,63.3,60.3,49.6,40.7,32.9,45.9
1958,26.6,18.9,36.1,43.7,50.9,58.1,66.9,66.4,58.6,45.8,38.6,18,44.1
1959,21.3,18.1,30.7,43,56.2,59.1,69.8,68.5,60.9,47.9,38.6,29.7,45.3
1960,23.7,28.8,27.3,42.4,54.4,63.7,66.7,66.2,58.8,46.2,40.6,22.2,45.1
1961,15.3,24.2,30.1,41.9,51.1,62.6,65.8,66.3,64.1,50.8,39.7,26.1,44.8
1962,20.6,18.1,33.4,41.9,51,62.3,64,64.8,56.1,47.6,36.1,23.8,43.3
1963,23.6,17.4,31.8,42.4,52.5,63,68.9,62.9,54.8,52.3,41.7,16.5,44
1964,24.4,22.9,31.9,40.8,54.8,62.6,67.5,61.1,55.5,47,36.2,25.3,44.2
1965,19.7,21.6,33.3,41.1,54.7,63.1,66.3,66.5,58,47.5,36.6,27.8,44.7
1966,22.3,22.6,32.6,39.9,50.3,63.1,67.7,66.1,56.2,47,41.1,26.7,44.6
1967,24.4,17.2,26.4,41.5,47.2,63.3,67.5,66.8,59.9,49.7,34.7,27.8,43.9
1968,16.5,19.2,33.2,45.1,51,60,70,66.4,61.7,52.8,36.7,25.2,44.8
1969,24.2,25,31.1,43,52.8,62.6,67.6,71.3,60.8,48.9,41.1,28.7,46.4
1970,16.7,25.4,32.4,43.6,55.7,63.5,70.1,68.7,60.9,51.6,41.3,19.5,45.8
1971,12.1,21.9,31.6,41.6,52.7,64.3,69,68.9,61.3,52.5,35.4,27.3,44.9
1972,22.2,21.1,28.9,40.6,52.5,59.6,67.5,65.3,58.7,45.1,35,24,43.4
1973,23.1,23.4,37.6,45.5,51.3,63.8,70.8,70.9,58.3,49.2,37.7,33.5,47.1
1974,23.1,24.4,33.9,45,50.6,61.3,68.1,67.9,58.8,44.7,39.3,30.2,45.6
1975,26.7,25,29.8,40,55.6,61.5,70.1,66.8,57.2,49.2,43,24.3,45.8
1976,15.7,28.2,31.5,44.9,52.3,65.9,65.9,65.4,57.3,43.5,36.1,19.4,43.8
1977,14.2,21.9,36.1,42.4,54.4,59,68.2,66.5,57.6,48.1,39.4,25.4,44.4
1978,21.1,19.2,30.2,40.6,52.7,61,68,68.6,57.8,48.2,36.4,26,44.2
1979,23.6,15.5,35.6,42.1,55.2,62.7,69.3,64.8,57.3,47.4,42.4,29.8,45.5
1980,22.7,20.4,32,44.3,53.7,61,69.6,71.1,61.5,45.9,36.2,21.3,45
1981,13.8,32.2,35.6,45.2,55.3,63.9,68.7,66,58.6,46.6,38.9,29.1,46.2
1982,15,23.3,32.1,42,54.6,58.3,69.2,64.3,59.2,48,41.3,32,44.9
1983,25.2,26.2,35.8,44.4,52,63.8,69.7,67.5,62.9,47.8,40.2,26.1,46.8
1984,19.8,32,28.1,43.3,52.9,63.9,69.5,69.1,57.8,49.6,39.2,31.1,46.4
1985,16.2,26.4,34.8,44.1,53.7,61.7,69.7,66.6,60.7,50.8,39.8,24.6,45.8
1986,24.9,23.3,34.6,46.5,53.6,60.9,66.3,66.1,57.3,47.9,36.3,29.6,45.6
1987,21.6,22.9,34,44.9,54.6,63.7,68,66.2,59.6,47.1,38.1,30.2,45.9
1988,21.6,25.7,34.1,43.5,54.7,63.8,71.1,71.1,59.4,46.5,41,26,46.5
1989,26.8,24,31.6,41.1,55.6,63.9,69.4,68,60.5,49.8,37.3,14,45.2
1990,30.1,25.7,34.6,44.5,51.7,62.4,70.2,69.8,59.8,52.4,41.8,33.6,48.1
1991,23.4,29.8,37,45.9,58.1,65.4,70,69.9,58.1,50.7,40.4,26.4,47.9
1992,23.9,25.8,30.8,41.4,51.8,63.4,65.8,66.8,58.9,47.3,37.6,28.9,45.2
1993,23.4,16.8,29.8,43.3,54.8,64.5,69.8,69.5,59.6,46.2,39,29.9,45.6
1994,14,19.5,33.5,44.5,52.3,66,72.4,66.4,58.4,49.4,41.5,31.5,45.8
1995,27.1,21.2,34.8,41.2,52.2,64.1,70.1,67.4,56.4,52.3,35.7,24.6,45.6
1996,21.4,23.9,29.8,42.9,52.5,63,66.4,67.4,59.7,46.8,35.1,34.5,45.3
1997,23.3,28.6,30.4,41.8,51,63.3,69,67.2,58.7,47,36.1,29.5,45.5
1998,27.1,31.3,36.7,45.8,56.8,60.6,69.5,69.5,61.2,49.2,39.4,32.4,48.3
1999,22.3,29,35.6,44.9,54.4,66.3,71.3,67.7,63.3,46.6,41.9,31.9,47.9
2000,21.5,26.4,37.7,43.3,53.2,63.6,67.1,67.3,59.8,48.9,40.4,24.6,46.2
2001,20.6,24.3,30.6,43.3,54.9,67.1,66.5,69.4,61,50.2,41.3,34.8,47
2002,30.4,28.8,34.8,44.4,52.5,61.4,69.5,70,63.1,47,37,27.4,47.2
2003,16.3,20.2,31.6,40.9,52.2,62.9,69.3,68.8,61.4,48,40.8,29.6,45.2
2004,15,25.8,34.8,44.4,54.2,60.5,66.9,67.8,60.9,49.6,38.8,28,45.6
2005,19.3,25.4,30.1,45,49.3,64.7,69.3,70.2,63.6,50.1,40.7,27.7,46.3
2006,30.2,25.8,34.5,45.7,54.6,65,71.9,66.9,60.3,49,43.8,34.5,48.5
2007,25.9,19.2,32.1,41.8,55.9,63.6,67.9,67.9,61.6,53.7,37.6,25.4,46
2008,26.5,25.9,31.9,44.8,54.2,64.4,70.7,66.2,60.3,48.8,39.3,28.5,46.8
2009,17.5,25.9,32.9,46.7,55.1,61,66.2,69.7,59.1,46.9,43,29.3,46.1
2010,25,30.8,39.8,48.8,57.9,64.6,72.2,69.3,63.4,49.3,40,29.2,49.2
2011,21.4,23.6,33.3,44.7,54.6,62.7,72.7,67.9,62.8,51.4,44.7,33.3,47.8
